gid,created_at,title,current_price,original_price,image_url,rating,review_count,url,categories
www.walmart.com-2bd7bbe1c729e96a71839f5664241c16,2022-03-11T17:54:36.665793Z,A River Runs Through It (DVD),$9.05,$9.05,https://i5.walmartimages.com/asr/cdf5fc3e-64bf-47d9-a837-1330334c00c3_1.0493b3cb79f65facc115af722cd6765e.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5.0,15,https://www.walmart.com/ip/A-River-Runs-Through-It-DVD/1103120,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-e0973d9e3f9ed92b5af1d0982ec2bf59,2022-03-11T17:57:17.862859Z,Ransom (DVD),$7.63,$7.63,https://i5.walmartimages.com/asr/e5f94c4c-2c34-4b3b-af08-26823bc7f79d_1.e5624517cd22b741a50ee1962c6d4903.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,18,https://www.walmart.com/ip/Ransom-DVD/2519266,[Movies & TV Shows Movies Action Movies Action Thriller Movies]
www.walmart.com-28236c1edf3ac1029ee1ce36a223ff4b,2022-03-11T16:53:35.473875Z,Black Dog (DVD),$4.99,$4.99,https://i5.walmartimages.com/asr/d02423d1-962b-4dde-9870-a8ef203f1b0c_1.2d27a21752971698ac5cf7058a98d6ce.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,59,https://www.walmart.com/ip/Black-Dog-DVD/1105788,[Movies & TV Shows Movies Action Movies Action Thriller Movies]
www.walmart.com-898251941045e9e445622c42efdc906e,2022-03-11T17:48:25.065464Z,Fantastic Mr. Fox (DVD),$9.67,$9.67,https://i5.walmartimages.com/asr/38c51204-6c94-45c0-a5e5-afe793327e6b_1.c34c763d1aac1fa4ba46fea046631214.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.5,11,https://www.walmart.com/ip/Fantastic-Mr-Fox-DVD/13437633,[Movies & TV Shows Movies Animated Movies All Anime & Animation]
www.walmart.com-03f73b473a120b0f6d39a7702d31e2a3,2022-03-11T17:21:56.288383Z,Seven Brides for Seven Brothers (DVD),$10.67,$10.67,https://i5.walmartimages.com/asr/b337c725-c57b-4cb0-8bcc-4133684d7255_1.6abe0d716e4cc172111781e1b08d65bc.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.3,23,https://www.walmart.com/ip/Seven-Brides-for-Seven-Brothers-DVD/43182484,[Movies & TV Shows Movies Musicals All Music & Performance]
www.walmart.com-e8575c569666868ec258795e119f3f14,2022-03-11T16:54:41.987888Z,Death Becomes Her (DVD),$4.99,$4.99,https://i5.walmartimages.com/asr/11036b58-f9f8-4f5b-bb65-edf5fdc8edf0_1.966cce28c6d0267de05a3d8864b04d62.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,84,https://www.walmart.com/ip/Death-Becomes-Her-DVD/1088691,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-03ef905f961fee0b11f2168b39b09a29,2022-03-11T17:10:20.884178Z,"Anime Heroes Figure Naruto 6.5"" Action Figure",$19.99,$19.99,https://i5.walmartimages.com/asr/ff2dc084-aff4-4ea3-b606-3bf5513163ea.6b0eb4fa5198808f91abc139318c775b.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.5,8,https://www.walmart.com/ip/Anime-Heroes-Figure-Naruto-6-5-Action-Figure/548128085?athbdg=L1600,[Toys Toys Character Shop Naruto Toys]
www.walmart.com-b182c586fd5bf5b2eecb8962443840c4,2022-03-11T17:23:36.56537Z,The Birdcage (DVD),$12.23,$12.23,https://i5.walmartimages.com/asr/4e32f2e5-d51a-45b3-b77a-0b3c91484f1b.13890aedcc207d8bbfbfaac23c2b98f1.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.8,34,https://www.walmart.com/ip/The-Birdcage-DVD/1617835,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-7e638307030b1b9499e679f4fa8766b3,2022-03-11T17:27:06.356229Z,Escape From New York (Blu-ray),$17.99,$17.99,https://i5.walmartimages.com/asr/c7b736a9-b5ad-4c2d-9fd4-df2a12691b11_1.06bcf883c3d9ed2e2f6ce48fff4899bc.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.0,4,https://www.walmart.com/ip/Escape-From-New-York-Blu-ray/44457176,[Movies & TV Shows Movies Action Movies All Action & Adventure]
www.walmart.com-48f3eef63e218d5cacf86ce4b0928c82,2022-03-11T17:08:37.769249Z,The Color of Law,$17.84,$27.95,https://i5.walmartimages.com/asr/c22e824b-3a2c-4461-9300-ae3f36fe0cec.7b58d1a6e0f3e5ffd2b3a211e2a87bdd.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.5,15,https://www.walmart.com/ip/The-Color-of-Law-9781631492853/55562562,[Movies & TV Shows @ Manual Shelves - Movies & TV Shows Summer Picks]
www.walmart.com-2c13e6dc11cf073fe855bec02fcde6ce,2022-03-11T17:48:47.481345Z,Naruto Shippuden: Box Set 4 (DVD),$19.49,$24.98,https://i5.walmartimages.com/asr/9fcfcb29-419a-49c0-a81a-e38eab0f5e53_1.e143946bbdbf8a9fbfb0e270e51c329e.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.9,11,https://www.walmart.com/ip/Naruto-Shippuden-Box-Set-4-DVD/14860353,[Movies & TV Shows TV Shows Action & Adventure TV Shows]
www.walmart.com-6eb7d15dfeaa2c3c00e32ba36259172a,2022-03-11T17:33:40.165136Z,Doc Hollywood (DVD),$9.99,$14.97,https://i5.walmartimages.com/asr/3f34c60a-3ff8-4504-9378-4263ec3d8957_1.097e2fd72030c1701e05313280fbb0ad.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.9,24,https://www.walmart.com/ip/Doc-Hollywood-DVD/1096847,[Movies & TV Shows Movies Action Movies Action Comedy Movies]
www.walmart.com-c54af85e20d1b78dbc531076fd1fa375,2022-03-11T17:43:47.167075Z,The Last Starfighter (DVD),$9.35,$9.35,https://i5.walmartimages.com/asr/e196259f-82a8-475f-873f-16851f316899_1.9e970b80dcbcdbbda48e91b58bf4bb3c.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,5.0,21,https://www.walmart.com/ip/The-Last-Starfighter-DVD/11038677,[Movies & TV Shows Movies Science Fiction Movies All Sci-Fi & Fantasy]
www.walmart.com-354c6ea9164d58cc6e7d3957751ac28c,2022-03-11T17:12:29.547712Z,Rookie of the Year (DVD),$7.63,$7.63,https://i5.walmartimages.com/asr/268d8d0a-5b76-4a9e-94df-96544e5f9673.b6ac1a1d2465b78591968ad2aa6b22c1.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.6,14,https://www.walmart.com/ip/Rookie-of-the-Year-DVD/39405894,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-d078984a18c944e6fd31dc750621966e,2022-03-11T17:39:11.262069Z,The Shadow Riders (DVD),$5.99,$5.99,https://i5.walmartimages.com/asr/4e32f2e5-d51a-45b3-b77a-0b3c91484f1b.13890aedcc207d8bbfbfaac23c2b98f1.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.8,28,https://www.walmart.com/ip/The-Shadow-Riders-DVD/4300968,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-a34f7d45fadfaa0a397f777646813570,2022-03-11T17:41:36.765244Z,Backdraft: 2-Movie Collection (DVD),$11.36,$11.36,https://i5.walmartimages.com/asr/3977a300-e401-4cae-ba58-039c370fe2ab.dd1cdef571c193de18ac554431b32c9d.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.8,6,https://www.walmart.com/ip/Backdraft-2-Movie-Collection-DVD/710592025,[Movies & TV Shows Movies Action Movies Action Drama Movies]
www.walmart.com-6622ace6f1a96eecfcaa4fcaabf0a3ef,2022-03-11T17:29:17.416251Z,Chicago Med: Season Five (DVD),$12.99,$12.99,https://i5.walmartimages.com/asr/0a3795dc-d7b3-4c38-9091-3da3b2796a58.e0d31cc460b1145c8deb70632b9a02f9.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,6,https://www.walmart.com/ip/Chicago-Med-Season-Five-DVD/238497378,[Movies & TV Shows Shop TV Shows by Format TV Shows on DVD]
www.walmart.com-05e9658e175cc52c7bdd318b51576d62,2022-03-11T16:49:47.367142Z,The Warriors (DVD),$7.17,$7.17,https://i5.walmartimages.com/asr/4e32f2e5-d51a-45b3-b77a-0b3c91484f1b.13890aedcc207d8bbfbfaac23c2b98f1.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.5,43,https://www.walmart.com/ip/The-Warriors-DVD/55723844,[Movies & TV Shows Shop Movies by Format DVD Movies]
